epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1104.23,0.61857,0.49596,0.60007,1.02985,0.93922,0.97368,0.97651,0.89385,0.93922,0.97368,0.97651,0.91881,0.59297,0.28441,0.6173,0.80646,0.000983292,0.000983292,0.000983292
31,1142.5,0.58232,0.45957,0.57323,1.03673,0.90538,1,0.995,0.87662,0.90538,1,0.995,0.93978,0.60845,0.30331,0.60492,0.75481,0.000959716,0.000959716,0.000959716
32,1171.9,0.58582,0.48674,0.61341,1.01094,0.81059,1,0.97663,0.83689,0.81059,1,0.97663,0.89407,0.66925,0.30237,0.72535,0.82763,0.00093614,0.00093614,0.00093614
33,1208.72,0.57574,0.46552,0.57381,1.00923,0.95293,0.99099,0.995,0.84609,0.95293,0.99099,0.995,0.93046,0.74591,0.30354,0.66337,0.87202,0.000912563,0.000912563,0.000912563
34,1247.73,0.54834,0.42777,0.5633,1.00879,0.93599,1,0.995,0.8812,0.93599,1,0.995,0.94953,0.72541,0.28078,0.62927,0.84548,0.000888987,0.000888987,0.000888987
35,1287.82,0.566,0.41188,0.55215,1.01501,0.99587,1,0.995,0.88286,0.99587,1,0.995,0.96149,0.62744,0.24434,0.46274,0.76254,0.000865411,0.000865411,0.000865411
36,1327.31,0.55548,0.42737,0.54165,0.99933,0.98456,1,0.995,0.84531,0.98456,1,0.995,0.92273,0.73106,0.23407,0.61054,0.79847,0.000841835,0.000841835,0.000841835
37,1363.61,0.54315,0.41142,0.56762,1.00261,0.96315,1,0.99259,0.84623,0.96315,1,0.99259,0.87651,0.5668,0.24558,0.62748,0.77939,0.000818259,0.000818259,0.000818259
38,1401.64,0.54179,0.41553,0.52401,0.99988,0.90642,0.8349,0.90907,0.79303,0.90642,0.8349,0.89049,0.82066,0.76377,1.69149,0.80648,0.82237,0.000794683,0.000794683,0.000794683
39,1430.61,0.53995,0.42635,0.51511,0.98778,0.99218,1,0.995,0.9055,0.99218,1,0.995,0.96202,0.64341,0.23225,0.52071,0.77647,0.000771107,0.000771107,0.000771107
40,1478.48,0.5582,0.38734,0.54333,1.00874,0.98911,1,0.995,0.89916,0.98911,1,0.995,0.94181,0.58341,0.25827,0.5046,0.77428,0.00074753,0.00074753,0.00074753
41,1507.67,0.55231,0.45048,0.5392,0.9967,0.99523,1,0.995,0.88759,0.99523,1,0.995,0.96627,0.64785,0.2481,0.52216,0.7674,0.000723954,0.000723954,0.000723954
42,1544.85,0.51123,0.42739,0.50593,0.98168,0.97429,0.95673,0.99065,0.89112,0.97429,0.95673,0.99065,0.91284,0.60651,0.24255,0.60161,0.80131,0.000700378,0.000700378,0.000700378
43,1574.25,0.50976,0.38908,0.49973,0.97775,0.87706,0.96429,0.98727,0.85465,0.87706,0.96429,0.98727,0.93685,0.65845,0.2159,0.65203,0.77705,0.000676802,0.000676802,0.000676802
44,1613.14,0.54711,0.43063,0.50827,0.99885,0.98647,1,0.995,0.8841,0.98647,1,0.995,0.90335,0.5617,0.2569,0.57938,0.77453,0.000653226,0.000653226,0.000653226
45,1642.05,0.52306,0.40373,0.48495,0.9761,0.98415,1,0.995,0.88618,0.98415,1,0.995,0.93664,0.65429,0.26082,0.52354,0.77475,0.00062965,0.00062965,0.00062965
46,1671.24,0.51381,0.36155,0.4911,1.00693,0.99322,1,0.995,0.90303,0.99322,1,0.995,0.9437,0.58538,0.24528,0.45581,0.78341,0.000606074,0.000606074,0.000606074
47,1709.1,0.48912,0.33786,0.44117,0.96457,0.99274,1,0.995,0.88318,0.99274,1,0.995,0.96971,0.71267,0.22523,0.50284,0.78653,0.000582497,0.000582497,0.000582497
48,1748.33,0.49952,0.3748,0.46406,0.99258,0.99107,1,0.995,0.92699,0.99107,1,0.995,0.96295,0.52992,0.22457,0.45651,0.73969,0.000558921,0.000558921,0.000558921
49,1795.21,0.51586,0.41788,0.46615,0.99894,0.99332,1,0.995,0.88383,0.99332,1,0.995,0.94424,0.59939,0.2362,0.51867,0.76355,0.000535345,0.000535345,0.000535345
50,1832.15,0.48438,0.36584,0.44095,0.97594,0.98833,1,0.995,0.91504,0.98833,1,0.995,0.93783,0.56268,0.24212,0.48193,0.75759,0.000511769,0.000511769,0.000511769
51,1869.37,0.50416,0.37112,0.45537,0.97935,0.99728,0.99895,0.995,0.87469,0.99728,0.99895,0.995,0.9437,0.70459,0.23874,0.5019,0.81374,0.000488193,0.000488193,0.000488193
52,1907.38,0.47701,0.36346,0.4252,0.97439,0.98942,1,0.995,0.93509,0.98942,1,0.995,0.94912,0.55201,0.22528,0.5051,0.78324,0.000464617,0.000464617,0.000464617
53,1944.09,0.46664,0.36269,0.42,0.96747,0.99171,1,0.995,0.92027,0.99171,1,0.995,0.9343,0.52192,0.21471,0.58573,0.77216,0.000441041,0.000441041,0.000441041
54,1984.21,0.44704,0.36666,0.41295,0.95263,0.98468,1,0.995,0.89691,0.98468,1,0.995,0.9186,0.54763,0.22615,0.64838,0.79687,0.000417464,0.000417464,0.000417464
55,2014.03,0.43967,0.35058,0.40168,0.96809,0.9916,1,0.995,0.88554,0.9916,1,0.995,0.93282,0.62296,0.23211,0.59903,0.81974,0.000393888,0.000393888,0.000393888
56,2045.75,0.46877,0.36061,0.41842,0.9662,0.98996,1,0.995,0.90262,0.98996,1,0.995,0.88556,0.61502,0.23154,0.58546,0.80049,0.000370312,0.000370312,0.000370312
57,2078.62,0.45201,0.33889,0.44885,0.96797,0.954,0.99829,0.99275,0.91907,0.954,0.99829,0.99275,0.92896,0.49423,0.20558,0.54288,0.74753,0.000346736,0.000346736,0.000346736
58,2112.63,0.42949,0.33587,0.40908,0.95703,0.98939,1,0.995,0.9482,0.98939,1,0.995,0.93572,0.4463,0.21345,0.44011,0.71735,0.00032316,0.00032316,0.00032316
59,2144.43,0.4171,0.3202,0.39039,0.9569,0.98038,1,0.995,0.95791,0.98038,1,0.995,0.94854,0.33271,0.21481,0.40175,0.67402,0.000299584,0.000299584,0.000299584
60,2185.1,0.42619,0.3607,0.39236,0.93544,0.99163,1,0.995,0.9451,0.99163,1,0.995,0.94207,0.3435,0.21539,0.39067,0.68109,0.000276008,0.000276008,0.000276008
61,2236.53,0.39631,0.3585,0.34574,0.92979,0.99133,1,0.995,0.94449,0.99133,1,0.995,0.94776,0.38438,0.23308,0.36108,0.67145,0.000252431,0.000252431,0.000252431
62,2278.88,0.39212,0.33786,0.31287,0.94189,0.98887,1,0.995,0.95002,0.98887,1,0.995,0.94797,0.36969,0.2131,0.39039,0.68443,0.000228855,0.000228855,0.000228855
63,2317.08,0.35987,0.31041,0.29337,0.9149,0.99094,1,0.995,0.96501,0.99094,1,0.995,0.94269,0.35902,0.21529,0.37831,0.6784,0.000205279,0.000205279,0.000205279
64,2363.5,0.35719,0.33331,0.29549,0.9186,0.99239,1,0.995,0.95653,0.99239,1,0.995,0.93644,0.33881,0.22203,0.35869,0.67512,0.000181703,0.000181703,0.000181703
65,2397.43,0.35027,0.29322,0.28388,0.91228,0.99334,1,0.995,0.96724,0.99334,1,0.995,0.94899,0.35213,0.22364,0.34651,0.67978,0.000158127,0.000158127,0.000158127
66,2437.17,0.33222,0.306,0.28281,0.90131,0.99281,1,0.995,0.96373,0.99281,1,0.995,0.94029,0.33985,0.21786,0.36685,0.69291,0.000134551,0.000134551,0.000134551
67,2476.01,0.33102,0.31305,0.27554,0.89047,0.99113,1,0.995,0.97181,0.99113,1,0.995,0.95012,0.32289,0.20803,0.34559,0.6855,0.000110975,0.000110975,0.000110975
68,2515.6,0.33836,0.30368,0.27245,0.89391,0.99144,1,0.995,0.96083,0.99144,1,0.995,0.94608,0.32444,0.21133,0.34424,0.70338,8.73984e-05,8.73984e-05,8.73984e-05
69,2544.81,0.31485,0.27238,0.25977,0.8771,0.99328,1,0.995,0.96116,0.99328,1,0.995,0.94571,0.30342,0.22051,0.33581,0.69617,6.38223e-05,6.38223e-05,6.38223e-05
70,2581.28,0.29755,0.2686,0.25823,0.91522,0.9925,1,0.995,0.9642,0.9925,1,0.995,0.94728,0.32011,0.20251,0.33825,0.68537,4.02461e-05,4.02461e-05,4.02461e-05
