epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,721.621,0.51926,0.30665,0.39375,0.86843,0.9974,1,0.995,0.64032,0.9974,1,0.995,0.72248,1.19736,0.22884,0.43718,0.62029,0.000709809,0.000709809,0.000709809
31,746.972,0.50914,0.31619,0.38423,0.87231,0.99732,1,0.995,0.62687,0.99732,1,0.995,0.72616,1.29819,0.22229,0.44652,0.63241,0.000676802,0.000676802,0.000676802
32,772.08,0.47226,0.30971,0.38351,0.87048,0.99853,1,0.995,0.64828,0.99853,1,0.995,0.72505,1.18789,0.22372,0.43524,0.63329,0.000643795,0.000643795,0.000643795
33,797.09,0.45492,0.30168,0.37664,0.86119,0.98513,0.99692,0.99479,0.64341,0.98513,0.99692,0.99479,0.73382,1.17946,0.21961,0.42557,0.61717,0.000610789,0.000610789,0.000610789
34,821.801,0.49532,0.31261,0.36969,0.8598,0.99432,1,0.995,0.65263,0.99432,1,0.995,0.72343,1.21851,0.23244,0.4093,0.62389,0.000577782,0.000577782,0.000577782
35,846.85,0.47447,0.29543,0.36329,0.85643,0.99638,0.99955,0.995,0.64501,0.99638,0.99955,0.995,0.72019,1.21681,0.23373,0.40486,0.61468,0.000544776,0.000544776,0.000544776
36,867.345,0.51133,0.30921,0.35777,0.854,0.99833,1,0.995,0.6535,0.99833,1,0.995,0.7239,1.24274,0.22444,0.41705,0.63554,0.000511769,0.000511769,0.000511769
37,887.325,0.46782,0.31553,0.35425,0.85672,0.99799,1,0.995,0.6579,0.99799,1,0.995,0.74684,1.20639,0.21711,0.41692,0.643,0.000478762,0.000478762,0.000478762
38,907.379,0.43542,0.30316,0.34641,0.85601,0.99442,1,0.995,0.66849,0.99442,1,0.995,0.7616,1.15256,0.22757,0.40909,0.6122,0.000445756,0.000445756,0.000445756
39,927.364,0.47795,0.28084,0.34518,0.8474,0.99735,1,0.995,0.67023,0.99735,1,0.995,0.75595,1.18416,0.21387,0.39473,0.61709,0.000412749,0.000412749,0.000412749
40,947.57,0.48347,0.29759,0.3405,0.84718,0.99786,1,0.995,0.6727,0.99786,1,0.995,0.75553,1.19012,0.23396,0.39236,0.62073,0.000379743,0.000379743,0.000379743
41,983.229,0.98312,0.31818,0.46196,0.6726,0.99729,1,0.995,0.65925,0.99729,1,0.995,0.73475,1.17429,0.23121,0.38982,0.60351,0.000346736,0.000346736,0.000346736
42,1002.47,0.95212,0.3121,0.42499,0.68616,0.99775,1,0.995,0.64448,0.99775,1,0.995,0.71626,1.18957,0.23379,0.38985,0.59693,0.000313729,0.000313729,0.000313729
43,1021.76,0.95779,0.29547,0.42427,0.6686,0.99787,1,0.995,0.66462,0.99787,1,0.995,0.73883,1.16734,0.23152,0.3963,0.6008,0.000280723,0.000280723,0.000280723
44,1041.06,0.97468,0.27895,0.41635,0.66623,0.99751,1,0.995,0.66427,0.99751,1,0.995,0.74901,1.18829,0.22379,0.38349,0.60052,0.000247716,0.000247716,0.000247716
45,1060.37,0.96467,0.27299,0.40392,0.65543,0.99778,1,0.995,0.66843,0.99778,1,0.995,0.76215,1.1673,0.21506,0.38312,0.60477,0.00021471,0.00021471,0.00021471
46,1079.6,0.97418,0.27835,0.39836,0.65406,0.99825,1,0.995,0.67761,0.99825,1,0.995,0.7505,1.17021,0.22618,0.36844,0.59406,0.000181703,0.000181703,0.000181703
47,1098.94,0.98489,0.2664,0.39825,0.64423,0.9981,1,0.995,0.67479,0.9981,1,0.995,0.76076,1.15391,0.21867,0.37222,0.59061,0.000148696,0.000148696,0.000148696
48,1118.34,1.01888,0.26574,0.4021,0.63584,0.99749,1,0.995,0.68023,0.99749,1,0.995,0.76257,1.15314,0.21775,0.35754,0.58794,0.00011569,0.00011569,0.00011569
49,1137.65,0.92672,0.26524,0.37771,0.65385,0.99824,1,0.995,0.68227,0.99824,1,0.995,0.76131,1.1362,0.21927,0.35503,0.59545,8.26832e-05,8.26832e-05,8.26832e-05
50,1156.99,0.92919,0.26069,0.37538,0.63653,0.99803,1,0.995,0.69159,0.99803,1,0.995,0.76246,1.13809,0.21922,0.35637,0.5867,4.96766e-05,4.96766e-05,4.96766e-05
