epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4484.68,1.55801,0.91989,1.55975,0.90005,0.86478,0.92327,0.46488,1.75185,0.77807,1.78639,0.000424187,0.000424187,0.000424187
43,4589.47,1.55473,0.92356,1.55725,0.88471,0.8632,0.9235,0.46257,1.77291,0.80479,1.81248,0.000417119,0.000417119,0.000417119
44,4694.28,1.5485,0.90866,1.56479,0.89884,0.87468,0.92965,0.48147,1.72977,0.74682,1.79685,0.00041005,0.00041005,0.00041005
45,4799.88,1.54544,0.90803,1.56447,0.87811,0.87016,0.9185,0.45883,1.76188,0.81572,1.82271,0.000402982,0.000402982,0.000402982
46,4904.89,1.52868,0.89775,1.55789,0.87087,0.87698,0.91951,0.4713,1.7432,0.80107,1.80279,0.000395913,0.000395913,0.000395913
47,5010.01,1.52105,0.88074,1.54417,0.87669,0.85654,0.9147,0.46866,1.7372,0.80749,1.78232,0.000388844,0.000388844,0.000388844
48,5115.12,1.52087,0.89106,1.53639,0.88779,0.86967,0.923,0.47027,1.74221,0.79824,1.77948,0.000381776,0.000381776,0.000381776
49,5220,1.5184,0.8594,1.54093,0.88881,0.87968,0.92534,0.45721,1.74331,0.78818,1.79546,0.000374707,0.000374707,0.000374707
50,5324.99,1.50349,0.87175,1.53217,0.89988,0.87669,0.92783,0.47245,1.74076,0.77397,1.78821,0.000367639,0.000367639,0.000367639
51,5429.84,1.49496,0.85689,1.53735,0.89419,0.87249,0.9249,0.46442,1.76478,0.76343,1.80323,0.00036057,0.00036057,0.00036057
52,5534.69,1.4838,0.8582,1.51086,0.88149,0.85312,0.91851,0.46283,1.76417,0.78794,1.80765,0.000353501,0.000353501,0.000353501
53,5639.84,1.49344,0.85421,1.52281,0.88275,0.87429,0.92991,0.46732,1.7687,0.7499,1.81184,0.000346433,0.000346433,0.000346433
54,5744.95,1.49423,0.85397,1.52986,0.89434,0.85434,0.92072,0.46191,1.7752,0.78977,1.82415,0.000339364,0.000339364,0.000339364
55,5849.8,1.47445,0.82885,1.51037,0.9051,0.86828,0.92616,0.46296,1.76861,0.76391,1.80729,0.000332296,0.000332296,0.000332296
56,5954.53,1.47082,0.83634,1.50908,0.89152,0.86763,0.92176,0.46552,1.77548,0.76137,1.8089,0.000325227,0.000325227,0.000325227
57,6059.65,1.46028,0.82873,1.50736,0.92319,0.88865,0.93575,0.46508,1.77607,0.75257,1.80847,0.000318158,0.000318158,0.000318158
58,6164.4,1.45007,0.81937,1.5003,0.89832,0.89083,0.93064,0.46787,1.77504,0.75126,1.8196,0.00031109,0.00031109,0.00031109
59,6271.34,1.46858,0.82599,1.50896,0.89881,0.86215,0.9235,0.46376,1.77517,0.78501,1.81882,0.000304021,0.000304021,0.000304021
60,6377.99,1.46432,0.82816,1.52454,0.89827,0.88145,0.92909,0.46771,1.7781,0.73708,1.83353,0.000296953,0.000296953,0.000296953
61,6484.45,1.43321,0.81096,1.48669,0.92247,0.89234,0.94367,0.47606,1.77141,0.72316,1.8183,0.000289884,0.000289884,0.000289884
62,6590.6,1.42764,0.79293,1.48747,0.91177,0.90769,0.93568,0.4761,1.79564,0.7265,1.82465,0.000282815,0.000282815,0.000282815
63,6696.79,1.4437,0.80163,1.48297,0.89923,0.87303,0.92945,0.45886,1.80729,0.73305,1.82952,0.000275747,0.000275747,0.000275747
64,6804.29,1.42057,0.79897,1.47484,0.88248,0.87367,0.93365,0.46407,1.80305,0.74909,1.82612,0.000268678,0.000268678,0.000268678
65,6910.93,1.40537,0.774,1.46283,0.90341,0.89248,0.93802,0.47072,1.80394,0.71311,1.84045,0.00026161,0.00026161,0.00026161
66,7017.28,1.39817,0.75802,1.46715,0.89754,0.8771,0.93523,0.46568,1.78267,0.74154,1.83238,0.000254541,0.000254541,0.000254541
67,7134.74,1.3948,0.75947,1.45501,0.90352,0.89506,0.93369,0.46899,1.7991,0.71731,1.84383,0.000247472,0.000247472,0.000247472
68,7242.01,1.38531,0.75901,1.45635,0.89504,0.8874,0.92407,0.46605,1.80318,0.71026,1.85256,0.000240404,0.000240404,0.000240404
69,7370.65,1.3818,0.74736,1.45252,0.90795,0.88843,0.93465,0.46722,1.78527,0.73641,1.85097,0.000233335,0.000233335,0.000233335
70,7510.26,1.37574,0.75641,1.45087,0.90704,0.88248,0.93186,0.47097,1.78499,0.74482,1.85875,0.000226267,0.000226267,0.000226267
71,7631.5,1.35738,0.73523,1.42643,0.92124,0.86359,0.92434,0.46242,1.82873,0.74622,1.88711,0.000219198,0.000219198,0.000219198
72,7755.07,1.35432,0.73227,1.43413,0.92513,0.88346,0.93129,0.46477,1.82721,0.73183,1.8793,0.000212129,0.000212129,0.000212129
73,7872.07,1.34568,0.73237,1.42245,0.89082,0.88602,0.92266,0.45745,1.82545,0.73246,1.88662,0.000205061,0.000205061,0.000205061
74,7987.02,1.3331,0.72344,1.42319,0.90523,0.88082,0.92857,0.4578,1.83494,0.73854,1.89353,0.000197992,0.000197992,0.000197992
75,8101.28,1.31073,0.71246,1.41231,0.88652,0.88932,0.9304,0.4597,1.85569,0.73372,1.90953,0.000190924,0.000190924,0.000190924
76,8219.51,1.30971,0.70323,1.39626,0.90687,0.86557,0.9272,0.45731,1.84875,0.73261,1.92023,0.000183855,0.000183855,0.000183855
77,8343.53,1.30596,0.71084,1.395,0.90838,0.86469,0.92219,0.45978,1.83101,0.73265,1.89485,0.000176786,0.000176786,0.000176786
78,8467.81,1.28853,0.70508,1.39328,0.91235,0.87394,0.91922,0.44923,1.85832,0.72762,1.94575,0.000169718,0.000169718,0.000169718
79,8588.9,1.26282,0.68616,1.37962,0.91289,0.85212,0.92266,0.45344,1.86407,0.74743,1.95438,0.000162649,0.000162649,0.000162649
80,8709.45,1.28282,0.68996,1.37836,0.89676,0.86025,0.91482,0.45343,1.85824,0.76157,1.9521,0.000155581,0.000155581,0.000155581
81,8833.44,1.26616,0.68238,1.37711,0.90983,0.86378,0.91829,0.45637,1.84415,0.75063,1.93351,0.000148512,0.000148512,0.000148512
82,8984,1.25105,0.68195,1.37176,0.89812,0.87607,0.93034,0.46044,1.85191,0.73723,1.94505,0.000141443,0.000141443,0.000141443
83,9340.34,1.24684,0.68346,1.36654,0.90481,0.88866,0.93355,0.46454,1.85101,0.72341,1.95199,0.000134375,0.000134375,0.000134375
84,9788.36,1.22984,0.6678,1.34825,0.9123,0.87531,0.92673,0.45244,1.84192,0.73011,1.94144,0.000127306,0.000127306,0.000127306
