epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,125.528,1.04664,5.45012,0.57733,0.61279,1.67418,0.97525,1,0.995,0.11799,0,0,0,0,3.59502,5.89701,0.62978,0.88431,0.86842,0.0008516,0.0008516,0.0008516
31,128.435,1.0614,5.10785,0.57671,0.61302,1.64211,0.97141,1,0.995,0.11074,0,0,0,0,3.59506,6.19078,0.61388,0.90904,0.70699,0.000812,0.000812,0.000812
32,131.35,0.92761,4.96412,0.56981,0.56932,1.62107,0.93606,1,0.995,0.10974,0,0,0,0,3.58404,6.21217,0.69833,0.92299,0.47492,0.0007724,0.0007724,0.0007724
33,134.123,0.95437,5.24865,0.5904,0.58611,1.62687,0.97993,1,0.995,0.10544,0,0,0,0,3.60608,6.23717,0.75134,0.97475,0.42898,0.0007328,0.0007328,0.0007328
34,136.915,1.09485,5.07962,0.55783,0.62334,1.52881,0.9823,1,0.995,0.10493,0,0,0,0,3.57685,5.95849,0.69547,0.96443,0.46119,0.0006932,0.0006932,0.0006932
35,139.685,0.96609,5.05435,0.57995,0.57902,1.55461,0.98973,1,0.995,0.10537,0.18286,0.16667,0.09993,0.00999,3.6454,5.67586,0.57925,1.00465,0.63739,0.0006536,0.0006536,0.0006536
36,142.706,1.0886,5.04886,0.55487,0.60296,1.50794,0.99008,1,0.995,0.0995,0.49504,0.5,0.42788,0.04279,3.77647,5.43381,0.53461,1.13515,1.01113,0.000614,0.000614,0.000614
37,145.881,1.08927,4.59567,0.55226,0.61608,1.54715,0.98914,1,0.995,0.11124,0.16482,0.16667,0.06236,0.00624,3.70631,5.31072,0.5166,1.0213,1.04241,0.0005744,0.0005744,0.0005744
38,149.063,1.09677,4.87261,0.57292,0.61027,1.45574,0.99214,1,0.995,0.17049,0,0,0,0,3.54319,5.48866,0.51002,0.94778,0.55834,0.0005348,0.0005348,0.0005348
39,151.972,1.10337,5.21837,0.55915,0.59386,1.50859,0.98578,1,0.995,0.199,0,0,0,0,3.45125,5.45725,0.46271,0.91117,0.51952,0.0004952,0.0004952,0.0004952
40,154.875,1.0769,4.90702,0.54552,0.61666,1.47753,0.99068,1,0.995,0.199,0.22072,0.16667,0.11476,0.01148,3.44932,5.245,0.45657,0.92573,0.52989,0.0004556,0.0004556,0.0004556
41,175.376,2.12906,5.55987,0.7111,1.42472,1.39561,0.99091,1,0.995,0.199,0.32787,0.33333,0.2055,0.02055,3.44694,5.13571,0.45907,0.92373,0.51305,0.000416,0.000416,0.000416
42,178.385,2.3192,5.62353,0.64907,1.02853,1.15219,0.98927,1,0.995,0.199,0.49228,0.5,0.28575,0.02857,3.41735,5.10221,0.48516,0.91993,0.42212,0.0003764,0.0003764,0.0003764
43,181.445,2.34056,5.80913,0.64583,0.83006,1.13808,0.98927,1,0.995,0.199,0.49228,0.5,0.28575,0.02857,3.41735,5.10221,0.48516,0.91993,0.42212,0.0003368,0.0003368,0.0003368
44,184.502,2.33574,5.68371,0.57685,0.83199,1.17573,0.98411,1,0.995,0.199,0.45392,0.33333,0.25583,0.02558,3.40513,5.20131,0.53896,0.90913,0.30152,0.0002972,0.0002972,0.0002972
45,187.615,2.09815,5.63608,0.60686,0.73428,1.08404,0.98634,1,0.995,0.199,0.16534,0.16667,0.09993,0.00999,3.43009,5.55086,0.64059,0.95327,0.23136,0.0002576,0.0002576,0.0002576
46,190.567,2.13586,5.26854,0.56622,0.73746,1.09726,0.98953,1,0.995,0.199,0.1666,0.16667,0.06217,0.00622,3.42864,5.60553,0.64587,0.94896,0.28208,0.000218,0.000218,0.000218
47,193.891,2.1378,5.59835,0.61498,0.70753,1.17773,0.98958,1,0.995,0.199,0.16628,0.16667,0.08488,0.01698,3.4042,5.47432,0.66825,0.91182,0.51367,0.0001784,0.0001784,0.0001784
48,196.911,1.86972,5.28641,0.59691,0.69392,1.3074,0.98985,1,0.995,0.199,0.42155,0.4877,0.41169,0.04989,3.38478,5.24508,0.6373,0.85416,0.70474,0.0001388,0.0001388,0.0001388
49,199.927,2.09387,5.54683,0.61088,0.72329,1.28765,0.98906,1,0.995,0.199,0.3,0.5,0.4715,0.06783,3.36845,4.98717,0.58537,0.85591,0.79144,9.92e-05,9.92e-05,9.92e-05
50,203.073,2.18349,5.0269,0.62425,0.70814,1.18581,0.98943,1,0.995,0.199,0.66359,0.66667,0.7262,0.11323,3.35824,4.82838,0.56302,0.85611,0.78799,5.96e-05,5.96e-05,5.96e-05
