epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,721.653,0.35482,0.31695,0.3326,0.90751,0.93459,1,0.995,0.94561,0.93459,1,0.995,0.97149,0.4135,0.19082,0.33798,0.67448,0.000676802,0.000676802,0.000676802
32,751.146,0.3524,0.30071,0.31974,0.89839,0.9955,1,0.995,0.95437,0.9955,1,0.995,0.95404,0.34689,0.17867,0.27766,0.64488,0.000643795,0.000643795,0.000643795
33,775.524,0.32297,0.29319,0.31239,0.90012,0.99603,1,0.995,0.96101,0.99603,1,0.995,0.95292,0.33172,0.17595,0.26823,0.65031,0.000610789,0.000610789,0.000610789
34,800.181,0.34776,0.31409,0.3195,0.90653,0.99649,1,0.995,0.95504,0.99649,1,0.995,0.96643,0.37574,0.19075,0.29723,0.67211,0.000577782,0.000577782,0.000577782
35,824.613,0.33409,0.27685,0.30118,0.89491,0.99627,1,0.995,0.95964,0.99627,1,0.995,0.95868,0.35949,0.18819,0.28254,0.65752,0.000544776,0.000544776,0.000544776
36,848.644,0.33236,0.30539,0.29977,0.8998,0.99613,1,0.995,0.96551,0.99613,1,0.995,0.95945,0.34463,0.18142,0.2608,0.66261,0.000511769,0.000511769,0.000511769
37,875.795,0.31782,0.2869,0.2913,0.89446,0.9969,1,0.995,0.95941,0.9969,1,0.995,0.96106,0.36532,0.17667,0.29448,0.64952,0.000478762,0.000478762,0.000478762
38,913.191,0.31423,0.28495,0.29287,0.89159,0.9964,1,0.995,0.96716,0.9964,1,0.995,0.95571,0.31497,0.18324,0.27976,0.64822,0.000445756,0.000445756,0.000445756
39,941.069,0.30615,0.28118,0.282,0.89694,0.99679,1,0.995,0.96881,0.99679,1,0.995,0.95261,0.31561,0.18671,0.27198,0.63714,0.000412749,0.000412749,0.000412749
40,966.639,0.31772,0.30372,0.28702,0.8957,0.99622,1,0.995,0.96309,0.99622,1,0.995,0.94893,0.31763,0.18401,0.25329,0.64275,0.000379743,0.000379743,0.000379743
