epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1687.97,0.88358,0.46533,0.9117,0.83237,0.63208,0.654,0.43775,0.95217,0.44304,0.97241,0.00149784,0.00149784,0.00149784
43,1727.12,0.86381,0.4498,0.92031,0.91586,0.63477,0.66611,0.47264,0.92266,0.44462,0.95201,0.00149372,0.00149372,0.00149372
44,1774.01,0.84582,0.45175,0.9166,0.86237,0.63218,0.66293,0.45934,0.93521,0.4488,0.95501,0.00148959,0.00148959,0.00148959
45,1813.32,0.86527,0.44929,0.91507,0.78994,0.67183,0.69176,0.46748,0.89904,0.43274,0.95383,0.00148546,0.00148546,0.00148546
46,1852.6,0.84011,0.44293,0.91916,0.96768,0.63173,0.69938,0.49217,0.88115,0.42672,0.94337,0.00148134,0.00148134,0.00148134
47,1892.7,0.83634,0.44762,0.91485,0.81211,0.60175,0.62648,0.44867,0.89977,0.42066,0.95514,0.00147721,0.00147721,0.00147721
48,1932.03,0.8451,0.4366,0.93024,0.96208,0.59841,0.64473,0.45093,0.90418,0.42988,0.95754,0.00147309,0.00147309,0.00147309
49,1971.38,0.86404,0.45527,0.92776,0.9362,0.59841,0.65046,0.44833,0.92802,0.4592,0.95541,0.00146896,0.00146896,0.00146896
50,2011.95,0.83098,0.43703,0.91301,0.95753,0.60175,0.65368,0.45768,0.87994,0.42422,0.94205,0.00146483,0.00146483,0.00146483
51,2051.13,0.81054,0.42263,0.90234,0.97469,0.59312,0.62406,0.45222,0.88433,0.42551,0.94157,0.00146071,0.00146071,0.00146071
52,2090.25,0.8241,0.42758,0.90065,0.87547,0.59771,0.63342,0.44048,0.94321,0.43054,0.95404,0.00145658,0.00145658,0.00145658
53,2129.24,0.83945,0.43826,0.91226,0.84009,0.63612,0.66387,0.45908,0.91369,0.42775,0.95395,0.00145246,0.00145246,0.00145246
54,2168.32,0.81755,0.42742,0.90743,0.96304,0.63342,0.68951,0.48128,0.93467,0.43332,0.95036,0.00144833,0.00144833,0.00144833
55,2207.29,0.83714,0.44173,0.90534,0.74005,0.62623,0.62418,0.4347,0.90581,0.42422,0.94362,0.00144421,0.00144421,0.00144421
56,2246.48,0.81171,0.42784,0.90711,0.82927,0.6328,0.6511,0.4572,0.88804,0.41764,0.95865,0.00144008,0.00144008,0.00144008
57,2285.8,0.8199,0.42861,0.91436,0.84413,0.63612,0.63054,0.42997,0.91183,0.42982,0.9452,0.00143595,0.00143595,0.00143595
58,2325.2,0.78447,0.41624,0.90344,0.84152,0.63477,0.63877,0.4326,0.87386,0.42096,0.94666,0.00143183,0.00143183,0.00143183
59,2364.46,0.79846,0.42571,0.90446,0.97139,0.6004,0.65608,0.45146,0.88518,0.42617,0.94865,0.0014277,0.0014277,0.0014277
60,2403.69,0.79323,0.42015,0.89034,0.8524,0.63208,0.67896,0.47196,0.90316,0.42083,0.95156,0.00142358,0.00142358,0.00142358
61,2442.9,0.77648,0.40808,0.89156,0.79276,0.68951,0.68574,0.45549,0.89752,0.41468,0.95121,0.00141945,0.00141945,0.00141945
62,2482.24,0.79288,0.41464,0.89922,0.98549,0.61877,0.67761,0.44951,0.8694,0.43444,0.94593,0.00141532,0.00141532,0.00141532
63,2523.03,0.83864,0.43055,0.90676,0.86821,0.63477,0.67716,0.4584,0.89318,0.42353,0.93994,0.0014112,0.0014112,0.0014112
64,2562.34,0.87076,0.44493,0.90685,0.80364,0.64443,0.66824,0.44064,0.91334,0.41955,0.93622,0.00140707,0.00140707,0.00140707
