epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,234.547,1.59443,0.90047,0.93987,0.8817,0.75982,0.86827,0.41575,1.74477,0.88711,0.97589,0.000424187,0.000424187,0.000424187
43,239.793,1.59919,0.90842,0.94169,0.8752,0.78589,0.87771,0.42088,1.73003,0.86767,0.97465,0.000417119,0.000417119,0.000417119
44,245.185,1.58893,0.89306,0.94173,0.86286,0.79646,0.86407,0.42115,1.73681,0.86187,0.97354,0.00041005,0.00041005,0.00041005
45,250.276,1.58148,0.88033,0.9439,0.88273,0.77763,0.85925,0.41712,1.75036,0.86951,0.97532,0.000402982,0.000402982,0.000402982
46,255.213,1.57909,0.8897,0.94051,0.84649,0.77749,0.84628,0.40062,1.75894,0.89496,0.97287,0.000395913,0.000395913,0.000395913
47,260.306,1.57404,0.87613,0.93651,0.86249,0.76298,0.86028,0.41093,1.76791,0.87223,0.97757,0.000388844,0.000388844,0.000388844
48,265.178,1.58422,0.87452,0.94179,0.86543,0.7389,0.85203,0.40522,1.75019,0.88812,0.97452,0.000381776,0.000381776,0.000381776
49,270.17,1.55824,0.86241,0.93906,0.86263,0.73384,0.83171,0.38895,1.82372,0.91476,0.98666,0.000374707,0.000374707,0.000374707
50,275.196,1.57345,0.86982,0.93759,0.82465,0.7903,0.86338,0.41192,1.73948,0.86361,0.97566,0.000367639,0.000367639,0.000367639
51,282.412,1.5712,0.86324,0.93773,0.84416,0.78437,0.86915,0.42296,1.7488,0.84908,0.98038,0.00036057,0.00036057,0.00036057
52,291.21,1.56328,0.86795,0.93722,0.86237,0.79252,0.87045,0.4367,1.70586,0.81981,0.97515,0.000353501,0.000353501,0.000353501
53,296.744,1.54509,0.84892,0.93933,0.83794,0.75579,0.82957,0.38759,1.83485,0.90201,0.99136,0.000346433,0.000346433,0.000346433
54,302.053,1.54672,0.84479,0.93744,0.86326,0.75771,0.85768,0.40931,1.77428,0.84686,0.9807,0.000339364,0.000339364,0.000339364
55,307.588,1.55102,0.83361,0.93653,0.83745,0.76085,0.83357,0.40536,1.75321,0.87912,0.97738,0.000332296,0.000332296,0.000332296
56,312.722,1.54859,0.85354,0.93321,0.85205,0.76754,0.83353,0.38326,1.81901,1.04408,0.99153,0.000325227,0.000325227,0.000325227
57,317.92,1.53915,0.83865,0.93472,0.85851,0.77756,0.86908,0.40824,1.79323,0.82675,0.98387,0.000318158,0.000318158,0.000318158
58,322.864,1.54116,0.8283,0.93112,0.86528,0.7908,0.86792,0.42805,1.73116,0.81663,0.97642,0.00031109,0.00031109,0.00031109
59,328.236,1.52746,0.82786,0.93022,0.86965,0.7997,0.8862,0.42593,1.73798,0.80326,0.97407,0.000304021,0.000304021,0.000304021
60,333.35,1.52914,0.81426,0.93145,0.87806,0.77538,0.86316,0.398,1.7895,0.84468,0.98206,0.000296953,0.000296953,0.000296953
61,340.554,1.52906,0.8248,0.93199,0.85818,0.79948,0.85488,0.41444,1.74889,0.81241,0.98274,0.000289884,0.000289884,0.000289884
62,347.515,1.51588,0.81824,0.92705,0.88172,0.78437,0.87185,0.41109,1.77382,0.8376,0.98266,0.000282815,0.000282815,0.000282815
63,352.574,1.53286,0.83328,0.92631,0.87169,0.79208,0.87006,0.42961,1.73524,0.80257,0.97948,0.000275747,0.000275747,0.000275747
64,357.551,1.52732,0.80842,0.92704,0.88469,0.80551,0.86705,0.41938,1.74254,0.79578,0.97756,0.000268678,0.000268678,0.000268678
65,362.707,1.51259,0.81156,0.92699,0.82863,0.79604,0.86011,0.41724,1.75005,0.82753,0.98007,0.00026161,0.00026161,0.00026161
66,367.713,1.50484,0.79573,0.92937,0.86364,0.75982,0.85364,0.40843,1.78192,0.86477,0.98675,0.000254541,0.000254541,0.000254541
67,372.853,1.49911,0.79747,0.92403,0.87702,0.76917,0.85676,0.42188,1.73397,0.83196,0.97541,0.000247472,0.000247472,0.000247472
68,377.866,1.50634,0.79057,0.926,0.87904,0.75089,0.84705,0.39215,1.79976,0.8248,0.98847,0.000240404,0.000240404,0.000240404
69,382.857,1.50006,0.79167,0.92497,0.90738,0.76732,0.86192,0.41679,1.76734,0.80675,0.9788,0.000233335,0.000233335,0.000233335
70,387.975,1.49204,0.78862,0.92575,0.89516,0.78412,0.87171,0.4149,1.77361,0.80492,0.98376,0.000226267,0.000226267,0.000226267
